,0
0,Adelie
1,Gentoo
2,Gentoo
3,Adelie
4,Chinstrap
5,Gentoo
6,Adelie
7,Adelie
8,Gentoo
9,Chinstrap
10,Chinstrap
11,Adelie
12,Chinstrap
13,Adelie
14,Adelie
15,Adelie
16,Gentoo
17,Adelie
18,Gentoo
19,Adelie
20,Adelie
21,Gentoo
22,Gentoo
23,Adelie
24,Chinstrap
25,Gentoo
26,Gentoo
27,Chinstrap
28,Gentoo
29,Adelie
30,Adelie
31,Adelie
32,Adelie
33,Adelie
34,Gentoo
35,Chinstrap
36,Gentoo
37,Gentoo
38,Gentoo
39,Chinstrap
40,Gentoo
41,Gentoo
42,Adelie
43,Adelie
44,Adelie
45,Gentoo
46,Adelie
47,Adelie
48,Chinstrap
49,Adelie
50,Adelie
51,Chinstrap
52,Adelie
53,Chinstrap
54,Adelie
55,Gentoo
56,Gentoo
57,Gentoo
58,Chinstrap
59,Gentoo
60,Adelie
61,Adelie
62,Chinstrap
63,Adelie
64,Gentoo
65,Gentoo
66,Adelie
67,Adelie
68,Gentoo
69,Gentoo
70,Adelie
71,Chinstrap
72,Chinstrap
73,Gentoo
74,Gentoo
75,Chinstrap
76,Chinstrap
77,Chinstrap
78,Gentoo
79,Adelie
80,Gentoo
81,Chinstrap
82,Chinstrap
83,Chinstrap
84,Adelie
85,Chinstrap
86,Adelie
87,Adelie
88,Adelie
89,Gentoo
90,Chinstrap
91,Adelie
92,Gentoo
93,Adelie
94,Gentoo
95,Adelie
96,Chinstrap
97,Gentoo
98,Gentoo
99,Chinstrap
100,Chinstrap
101,Gentoo
102,Chinstrap
103,Adelie
104,Gentoo
105,Adelie
106,Chinstrap
107,Gentoo
108,Adelie
109,Adelie
110,Chinstrap
111,Chinstrap
112,Adelie
113,Adelie
114,Adelie
115,Gentoo
116,Gentoo
117,Adelie
118,Adelie
119,Adelie
120,Gentoo
121,Adelie
122,Adelie
123,Gentoo
124,Chinstrap
125,Gentoo
126,Gentoo
127,Chinstrap
128,Gentoo
129,Adelie
130,Adelie
131,Adelie
132,Adelie
133,Gentoo
134,Adelie
135,Gentoo
136,Adelie
137,Adelie
138,Adelie
139,Adelie
140,Chinstrap
141,Chinstrap
142,Gentoo
143,Gentoo
144,Gentoo
145,Adelie
146,Gentoo
147,Gentoo
148,Chinstrap
149,Gentoo
150,Adelie
151,Adelie
152,Adelie
153,Adelie
154,Adelie
155,Gentoo
156,Adelie
157,Adelie
158,Adelie
159,Gentoo
160,Adelie
161,Adelie
162,Adelie
163,Chinstrap
164,Adelie
165,Chinstrap
166,Gentoo
167,Gentoo
168,Gentoo
169,Gentoo
170,Gentoo
171,Adelie
172,Gentoo
173,Gentoo
174,Adelie
175,Gentoo
176,Gentoo
177,Adelie
178,Chinstrap
179,Adelie
180,Gentoo
181,Chinstrap
182,Adelie
183,Adelie
184,Adelie
185,Adelie
186,Gentoo
187,Chinstrap
188,Gentoo
189,Adelie
190,Chinstrap
191,Gentoo
192,Adelie
193,Gentoo
194,Adelie
195,Gentoo
196,Chinstrap
197,Adelie
198,Adelie
199,Chinstrap
200,Gentoo
201,Adelie
202,Adelie
203,Chinstrap
204,Adelie
205,Gentoo
206,Gentoo
207,Gentoo
208,Chinstrap
209,Adelie
210,Adelie
211,Gentoo
212,Gentoo
213,Adelie
214,Adelie
215,Gentoo
216,Adelie
217,Adelie
218,Gentoo
219,Gentoo
220,Adelie
221,Adelie
222,Gentoo
223,Gentoo
224,Adelie
225,Adelie
226,Gentoo
227,Adelie
228,Gentoo
229,Adelie
230,Chinstrap
231,Chinstrap
232,Adelie
233,Gentoo
234,Chinstrap
235,Adelie
236,Adelie
237,Adelie
238,Chinstrap
239,Gentoo
240,Gentoo
241,Gentoo
242,Adelie
243,Gentoo
244,Gentoo
245,Chinstrap
246,Adelie
247,Chinstrap
248,Gentoo
249,Adelie
250,Gentoo
251,Adelie
252,Adelie
253,Chinstrap
254,Gentoo
255,Chinstrap
256,Gentoo
257,Adelie
258,Chinstrap
259,Gentoo
260,Adelie
261,Adelie
262,Adelie
263,Gentoo
264,Gentoo
265,Gentoo
266,Chinstrap
267,Adelie
268,Chinstrap
269,Gentoo
270,Gentoo
271,Chinstrap
272,Adelie
273,Adelie
274,Chinstrap
